For what disease would a doctor usually prescribe flunisolide?,A doctor would usually prescribe flunisolide for allergic rhinitis (hay fever) or other respiratory allergies. It's a corticosteroid nasal spray that helps reduce inflammation and congestion.,respiratory allergy,,indication,flunisolide,,Unverifiable,Disease 'respiratory allergy' not found in dataset.
For what disease would a doctor usually prescribe darbepoetin alfa?,Darbepoetin alfa is usually prescribed for anemia caused by chronic kidney disease or chemotherapy.,anemia,,indication,darbepoetin alfa,,Unverifiable,Disease 'anemia' not found in dataset.
"Can you name a standard treatment for classic hodgkin lymphoma, lymphocyte-rich type?","One standard treatment for classic Hodgkin lymphoma, lymphocyte-rich type, is ABVD chemotherapy (Adriamycin, Bleomycin, Vinblastine, and Dacarbazine), often combined with radiation therapy.",classic hodgkin lymphoma,classic hodgkin lymphoma,indication,doxorubicin,doxorubicin,Verified,Correct relation.
"Can you name a standard treatment for classic hodgkin lymphoma, lymphocyte-rich type?","One standard treatment for classic Hodgkin lymphoma, lymphocyte-rich type, is ABVD chemotherapy (Adriamycin, Bleomycin, Vinblastine, and Dacarbazine), often combined with radiation therapy.",classic hodgkin lymphoma,classic hodgkin lymphoma,indication,bleomycin,bleomycin,Verified,Correct relation.
"Can you name a standard treatment for classic hodgkin lymphoma, lymphocyte-rich type?","One standard treatment for classic Hodgkin lymphoma, lymphocyte-rich type, is ABVD chemotherapy (Adriamycin, Bleomycin, Vinblastine, and Dacarbazine), often combined with radiation therapy.",classic hodgkin lymphoma,classic hodgkin lymphoma,indication,vinblastine,vinblastine,Verified,Correct relation.
"Can you name a standard treatment for classic hodgkin lymphoma, lymphocyte-rich type?","One standard treatment for classic Hodgkin lymphoma, lymphocyte-rich type, is ABVD chemotherapy (Adriamycin, Bleomycin, Vinblastine, and Dacarbazine), often combined with radiation therapy.",classic hodgkin lymphoma,classic hodgkin lymphoma,indication,dacarbazine,dacarbazine,Verified,Correct relation.
For what disease would a doctor usually prescribe venetoclax?,"Venetoclax is typically prescribed for certain types of blood cancers, including chronic lymphocytic leukemia (CLL) and acute myeloid leukemia (AML).",chronic lymphocytic leukemia,acute lymphocytic leukemia,indication,venetoclax,venetoclax,Hallucination,No edge between 'acute lymphocytic leukemia' and 'venetoclax'.
For what disease would a doctor usually prescribe venetoclax?,"Venetoclax is typically prescribed for certain types of blood cancers, including chronic lymphocytic leukemia (CLL) and acute myeloid leukemia (AML).",acute myeloid leukemia,myeloid leukemia,indication,venetoclax,venetoclax,Verified,Correct relation.
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de pointes,torsades de pointes,contraindication,pazopanib,pazopanib,Verified,Correct relation.
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de pointes,torsades de pointes,not indication,pazopanib,pazopanib,Relation Mismatch,"Expected 'contraindication', got 'not indication'."
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de pointes,torsades de pointes,indication,magnesium sulfate,magnesium sulfate,Relation Mismatch,"Expected 'off-label use', got 'indication'."
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de point es,torsades de pointes,indication,potassium,,Unverifiable,Drug 'potassium' not found in dataset.
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de point es,torsades de pointes,indication,isoproterenol,,Unverifiable,Drug 'isoproterenol' not found in dataset.
"If pazopanib doesn't work for torsades de pointes, what else can be used?","If pazopanib exacerbates or doesn't work for torsades de pointes, other treatment options may include:

1. Magnesium sulfate
2. Potassium supplements
3. Isoproterenol or other beta-agonists
4. Overdrive pacing

These alternatives can help stabilize the heart rhythm and manage torsades de pointes. It's essential to consult a healthcare provider for proper diagnosis and treatment.",torsades de point es,torsades de pointes,indication,beta-agonist,,Unverifiable,Drug 'beta-agonist' not found in dataset.
"If a patient has papillary conjunctivitis, what drug is usually prescribed?","For papillary conjunctivitis, a mast cell stabilizer such as cromolyn sodium or an antihistamine-mast cell stabilizer like olapatadine is typically prescribed.",papillary conjunctivitis,papillary conjunctivitis,indication,cromolyn sodium,,Unverifiable,Drug 'cromolyn sodium' not found in dataset.
"If a patient has papillary conjunctivitis, what drug is usually prescribed?","For papillary conjunctivitis, a mast cell stabilizer such as cromolyn sodium or an antihistamine-mast cell stabilizer like olapatadine is typically prescribed.",papillary conjunctivitis,papillary conjunctivitis,indication,olopatadine,olopatadine,Verified,Correct relation.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",hormone receptor-positive breast cancer,,indication,tamoxifen,,Unverifiable,Disease 'hormone receptor-positive breast cancer' not found in dataset.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",hormone receptor-positive breast cancer,,indication,anastrozole,,Unverifiable,Disease 'hormone receptor-positive breast cancer' not found in dataset.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",hormone receptor-positive breast cancer,,indication,letrozole,,Unverifiable,Disease 'hormone receptor-positive breast cancer' not found in dataset.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",her2-positive breast cancer,her2 positive breast carcinoma,indication,trastuzumab,trastuzumab,Verified,Correct relation.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",breast cancer,breast cancer,indication,doxorubicin,doxorubicin,Verified,Correct relation.
"If a patient has breast neoplasm, what drug is usually prescribed?","For a patient with breast neoplasm (breast cancer), the prescribed medication often depends on the type and stage of the cancer. However, common medications include:

1. Tamoxifen (for hormone receptor-positive breast cancer)
2. Aromatase inhibitors (e.g., anastrozole, letrozole) for post-menopausal women with hormone receptor-positive breast cancer
3. Trastuzumab (Herceptin) for HER2-positive breast cancer
4. Chemotherapy agents (e.g., doxorubicin, cyclophosphamide) for various stages and types of breast cancer.

Note: The specific medication and treatment plan will be determined by the patient's oncologist based on individual needs and diagnosis.",breast cancer,breast cancer,indication,cyclophosphamide,cyclophosphamide,Hallucination,No edge between 'breast cancer' and 'cyclophosphamide'.
"If irbesartan doesn't work for hypercalcemia disease, what else can be used?","If irbesartan (an ARB) doesn't work for hypercalcemia, other treatment options may include:

1. Bisphosphonates (e.g., alendronate, zoledronic acid)
2. Calcimimetics (e.g., cinacalcet)
3. Glucocorticoids
4. IV hydration and loop diuretics to enhance calcium excretion
5. Dialysis in severe cases

Consult a healthcare provider for personalized treatment.",hypercalcemia,hyperaemia,not indication,irbesartan,irbesartan,Hallucination,No edge between 'hyperaemia' and 'irbesartan'.
"If irbesartan doesn't work for hypercalcemia disease, what else can be used?","If irbesartan (an ARB) doesn't work for hypercalcemia, other treatment options may include:

1. Bisphosphonates (e.g., alendronate, zoledronic acid)
2. Calcimimetics (e.g., cinacalcet)
3. Glucocorticoids
4. IV hydration and loop diuretics to enhance calcium excretion
5. Dialysis in severe cases

Consult a healthcare provider for personalized treatment.",hypercalcemia,hyperaemia,indication,alendronate,ibandronate,Hallucination,No edge between 'hyperaemia' and 'ibandronate'.
"If irbesartan doesn't work for hypercalcemia disease, what else can be used?","If irbesartan (an ARB) doesn't work for hypercalcemia, other treatment options may include:

1. Bisphosphonates (e.g., alendronate, zoledronic acid)
2. Calcimimetics (e.g., cinacalcet)
3. Glucocorticoids
4. IV hydration and loop diuretics to enhance calcium excretion
5. Dialysis in severe cases

Consult a healthcare provider for personalized treatment.",hypercalcemia,hyperaemia,indication,zoledronic acid,zoledronic acid,Hallucination,No edge between 'hyperaemia' and 'zoledronic acid'.
"If irbesartan doesn't work for hypercalcemia disease, what else can be used?","If irbesartan (an ARB) doesn't work for hypercalcemia, other treatment options may include:

1. Bisphosphonates (e.g., alendronate, zoledronic acid)
2. Calcimimetics (e.g., cinacalcet)
3. Glucocorticoids
4. IV hydration and loop diuretics to enhance calcium excretion
5. Dialysis in severe cases

Consult a healthcare provider for personalized treatment.",hypercalcemia,hyperaemia,indication,cinacalcet,cinacalcet,Hallucination,No edge between 'hyperaemia' and 'cinacalcet'.
"If irbesartan doesn't work for hypercalcemia disease, what else can be used?","If irbesartan (an ARB) doesn't work for hypercalcemia, other treatment options may include:

1. Bisphosphonates (e.g., alendronate, zoledronic acid)
2. Calcimimetics (e.g., cinacalcet)
3. Glucocorticoids
4. IV hydration and loop diuretics to enhance calcium excretion
5. Dialysis in severe cases

Consult a healthcare provider for personalized treatment.",hypercalcemia,hyperaemia,indication,glucocorticoids,glucocorticoid,Hallucination,No edge between 'hyperaemia' and 'glucocorticoid'.
"Besides metamfetamine, what is another common medication for substance abuse/dependence?","Besides metamfetamine (methamphetamine), another common medication for substance abuse/dependence is buprenorphine, often used to treat opioid addiction.",substance use disorder,substance use disorder,indication,buprenorphine,buprenorphine,Hallucination,No edge between 'substance use disorder' and 'buprenorphine'.
"Besides metamfetamine, what is another common medication for substance abuse/dependence?","Besides metamfetamine (methamphetamine), another common medication for substance abuse/dependence is buprenorphine, often used to treat opioid addiction.",opioid use disorder,opioid use disorder,indication,buprenorphine,buprenorphine,Verified,Correct relation.
Is clonidine commonly prescribed to treat chronic renal failure syndrome?,"No, clonidine is not commonly prescribed to treat chronic renal failure syndrome. It's primarily used to treat hypertension, ADHD, and certain pain conditions. In chronic renal failure, other medications like ACE inhibitors, ARBs, and diuretics are more commonly used.",chronic renal failure,chronic renal failure syndrome,not indication,clonidine,clonidine,Relation Mismatch,"Expected 'contraindication', got 'not indication'."
Is clonidine commonly prescribed to treat chronic renal failure syndrome?,"No, clonidine is not commonly prescribed to treat chronic renal failure syndrome. It's primarily used to treat hypertension, ADHD, and certain pain conditions. In chronic renal failure, other medications like ACE inhibitors, ARBs, and diuretics are more commonly used.",hypertension,hypertension,indication,clonidine,clonidine,Verified,Correct relation.
Is clonidine commonly prescribed to treat chronic renal failure syndrome?,"No, clonidine is not commonly prescribed to treat chronic renal failure syndrome. It's primarily used to treat hypertension, ADHD, and certain pain conditions. In chronic renal failure, other medications like ACE inhibitors, ARBs, and diuretics are more commonly used.",attention deficit hyperactivity disorder,"attention deficit hyperactivity disorder, inattentive type",indication,clonidine,clonidine,Verified,Correct relation.
What is a common medication used to treat cryptosporidiosis?,A common medication used to treat cryptosporidiosis is Nitazoxanide.,cryptosporidiosis,cryptosporidiosis,indication,nitazoxanide,nitazoxanide,Verified,Correct relation.
"If a patient has substance use disorder, what drug is usually prescribed?","For substance use disorder, medications such as Methadone, Buprenorphine (Suboxone), or Naltrexone are often prescribed, depending on the type of substance being abused and the patient's specific needs.",substance use disorder,substance use disorder,indication,methadone,methadone,Hallucination,No edge between 'substance use disorder' and 'methadone'.
"If a patient has substance use disorder, what drug is usually prescribed?","For substance use disorder, medications such as Methadone, Buprenorphine (Suboxone), or Naltrexone are often prescribed, depending on the type of substance being abused and the patient's specific needs.",substance use disorder,substance use disorder,indication,buprenorphine,buprenorphine,Hallucination,No edge between 'substance use disorder' and 'buprenorphine'.
"If a patient has substance use disorder, what drug is usually prescribed?","For substance use disorder, medications such as Methadone, Buprenorphine (Suboxone), or Naltrexone are often prescribed, depending on the type of substance being abused and the patient's specific needs.",substance use disorder,substance use disorder,indication,naltrexone,naltrexone,Hallucination,No edge between 'substance use disorder' and 'naltrexone'.
What is the main use for the medication clonidine?,"The main use for the medication clonidine is to treat high blood pressure (hypertension) and attention deficit hyperactivity disorder (ADHD). It can also be used to manage symptoms of anxiety, insomnia, and certain pain conditions.",hypertension,hypertension,indication,clonidine,clonidine,Verified,Correct relation.
What is the main use for the medication clonidine?,"The main use for the medication clonidine is to treat high blood pressure (hypertension) and attention deficit hyperactivity disorder (ADHD). It can also be used to manage symptoms of anxiety, insomnia, and certain pain conditions.",attention deficit hyperactivity disorder,"attention deficit hyperactivity disorder, inattentive type",indication,clonidine,clonidine,Verified,Correct relation.
What is the main use for the medication clonidine?,"The main use for the medication clonidine is to treat high blood pressure (hypertension) and attention deficit hyperactivity disorder (ADHD). It can also be used to manage symptoms of anxiety, insomnia, and certain pain conditions.",anxiety,anxiety,indication,clonidine,clonidine,Hallucination,No edge between 'anxiety' and 'clonidine'.
What is the main use for the medication clonidine?,"The main use for the medication clonidine is to treat high blood pressure (hypertension) and attention deficit hyperactivity disorder (ADHD). It can also be used to manage symptoms of anxiety, insomnia, and certain pain conditions.",insomnia,,indication,clonidine,,Unverifiable,Disease 'insomnia' not found in dataset.
What is the main use for the medication clonidine?,"The main use for the medication clonidine is to treat high blood pressure (hypertension) and attention deficit hyperactivity disorder (ADHD). It can also be used to manage symptoms of anxiety, insomnia, and certain pain conditions.",pain,pacing,indication,clonidine,clonidine,Hallucination,No edge between 'pacing' and 'clonidine'.
What is a common medication used to treat male infertility?,"Clomiphene citrate is a common medication used to treat male infertility, as it can help increase testosterone levels and sperm production.",male infertility,male infertility,indication,clomiphene,clomifene,Relation Mismatch,"Expected 'off-label use', got 'indication'."
"If a patient has idiopathic aplastic anemia, what drug is usually prescribed?","For idiopathic aplastic anemia, the prescribed drugs often include immunosuppressants such as antithymocyte globulin (ATG) and cyclosporine.",aplastic anemia,aplastic anemia,indication,antithymocyte globulin,,Unverifiable,Drug 'antithymocyte globulin' not found in dataset.
"If a patient has idiopathic aplastic anemia, what drug is usually prescribed?","For idiopathic aplastic anemia, the prescribed drugs often include immunosuppressants such as antithymocyte globulin (ATG) and cyclosporine.",aplastic anemia,aplastic anemia,indication,cyclosporine,cyclosporine,Hallucination,No edge between 'aplastic anemia' and 'cyclosporine'.
"What is a common medication used to treat desmoid disease, hereditary?","Sulindac is a common medication used to treat desmoid disease, hereditary.",desmoid disease,,indication,sulindac,,Unverifiable,Disease 'desmoid disease' not found in dataset.
What is a common medication used to treat gamma chain deficiency?,"Immunoglobulin replacement therapy is a common treatment for gamma chain deficiency, but a specific medication is not typically used. However, medications like prophylactic antibiotics and immunoglobulins, such as gamma globulin (e.g., Gamunex-C or Gammagard), may be prescribed.",gamma chain deficiency,gamma chain deficiency,indication,immune globulin,,Unverifiable,Drug 'immune globulin' not found in dataset.
What is a common medication used to treat gamma chain deficiency?,"Immunoglobulin replacement therapy is a common treatment for gamma chain deficiency, but a specific medication is not typically used. However, medications like prophylactic antibiotics and immunoglobulins, such as gamma globulin (e.g., Gamunex-C or Gammagard), may be prescribed.",gamma chain deficiency,gamma chain deficiency,indication,antibiotic,antibiotic,Hallucination,No edge between 'gamma chain deficiency' and 'antibiotic'.
Can you list a few other treatments for vernal conjunctivitis other than nedocromil?,"Other treatments for vernal conjunctivitis include: 

1. Mast cell stabilizers (e.g., cromolyn sodium)
2. Antihistamines (e.g., levocabastine)
3. Corticosteroids (short-term use)
4. Immunomodulators (e.g., cyclosporine)

It's best to consult a doctor for proper diagnosis and treatment.",vernal conjunctivitis,vernal conjunctivitis,indication,cromolyn sodium,,Unverifiable,Drug 'cromolyn sodium' not found in dataset.
Can you list a few other treatments for vernal conjunctivitis other than nedocromil?,"Other treatments for vernal conjunctivitis include: 

1. Mast cell stabilizers (e.g., cromolyn sodium)
2. Antihistamines (e.g., levocabastine)
3. Corticosteroids (short-term use)
4. Immunomodulators (e.g., cyclosporine)

It's best to consult a doctor for proper diagnosis and treatment.",vernal conjunctivitis,vernal conjunctivitis,indication,levocabastine,levocabastine,Verified,Correct relation.
Can you list a few other treatments for vernal conjunctivitis other than nedocromil?,"Other treatments for vernal conjunctivitis include: 

1. Mast cell stabilizers (e.g., cromolyn sodium)
2. Antihistamines (e.g., levocabastine)
3. Corticosteroids (short-term use)
4. Immunomodulators (e.g., cyclosporine)

It's best to consult a doctor for proper diagnosis and treatment.",vernal conjunctivitis,vernal conjunctivitis,indication,corticosteroid,corticotropin,Hallucination,No edge between 'vernal conjunctivitis' and 'corticotropin'.
Can you list a few other treatments for vernal conjunctivitis other than nedocromil?,"Other treatments for vernal conjunctivitis include: 

1. Mast cell stabilizers (e.g., cromolyn sodium)
2. Antihistamines (e.g., levocabastine)
3. Corticosteroids (short-term use)
4. Immunomodulators (e.g., cyclosporine)

It's best to consult a doctor for proper diagnosis and treatment.",vernal conjunctivitis,vernal conjunctivitis,indication,cyclosporine,cyclosporine,Hallucination,No edge between 'vernal conjunctivitis' and 'cyclosporine'.
Is terbutaline commonly prescribed to treat respiratory failure?,"No, terbutaline is not commonly prescribed to treat respiratory failure. It's primarily used to treat asthma and COPD (chronic obstructive pulmonary disease) by relaxing airway muscles, but other medications are preferred for respiratory failure.",respiratory failure,respiratory failure,not indication,terbutaline,terbutaline,Relation Mismatch,"Expected 'contraindication', got 'not indication'."
Is terbutaline commonly prescribed to treat respiratory failure?,"No, terbutaline is not commonly prescribed to treat respiratory failure. It's primarily used to treat asthma and COPD (chronic obstructive pulmonary disease) by relaxing airway muscles, but other medications are preferred for respiratory failure.",asthma,asthma,indication,terbutaline,terbutaline,Verified,Correct relation.
Is terbutaline commonly prescribed to treat respiratory failure?,"No, terbutaline is not commonly prescribed to treat respiratory failure. It's primarily used to treat asthma and COPD (chronic obstructive pulmonary disease) by relaxing airway muscles, but other medications are preferred for respiratory failure.",chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,indication,terbutaline,terbutaline,Hallucination,No edge between 'chronic obstructive pulmonary disease' and 'terbutaline'.
Can testosterone enanthate be used for a patient with obstructive sleep apnea syndrome?,"Testosterone enanthate may worsen obstructive sleep apnea (OSA) symptoms due to its potential to increase upper airway resistance and promote sleepiness. It's generally not recommended for patients with untreated or severe OSA. However, in some cases, it may be used under close monitoring and with caution, particularly if the patient's OSA is well-managed and they are being treated for hypogonadism. A thorough discussion with the patient's healthcare provider is necessary to weigh the benefits and risks.",obstructive sleep apnea,obstructive sleep apnea syndrome,contraindication,testosterone,testosterone,Verified,Correct relation.
Can testosterone enanthate be used for a patient with obstructive sleep apnea syndrome?,"Testosterone enanthate may worsen obstructive sleep apnea (OSA) symptoms due to its potential to increase upper airway resistance and promote sleepiness. It's generally not recommended for patients with untreated or severe OSA. However, in some cases, it may be used under close monitoring and with caution, particularly if the patient's OSA is well-managed and they are being treated for hypogonadism. A thorough discussion with the patient's healthcare provider is necessary to weigh the benefits and risks.",hypogonadism,hypogonadism,indication,testosterone,testosterone,Verified,Correct relation.
Can you list a few other treatments for ovarian adenocarcinoma other than testosterone?,"For ovarian adenocarcinoma, other treatments include:

1. Surgery (hysterectomy, oophorectomy)
2. Chemotherapy (carboplatin, paclitaxel)
3. Radiation therapy
4. Hormone therapy (estrogen-blocking agents)
5. Targeted therapy (bevacizumab, olaparib)
6. Immunotherapy (checkpoint inhibitors)

Note: Testosterone is not a standard treatment for ovarian adenocarcinoma. Hormone therapies used typically involve estrogen-blocking agents.",ovarian adenocarcinoma,ovarian adenocarcinoma,indication,carboplatin,carboplatin,Verified,Correct relation.
Can you list a few other treatments for ovarian adenocarcinoma other than testosterone?,"For ovarian adenocarcinoma, other treatments include:

1. Surgery (hysterectomy, oophorectomy)
2. Chemotherapy (carboplatin, paclitaxel)
3. Radiation therapy
4. Hormone therapy (estrogen-blocking agents)
5. Targeted therapy (bevacizumab, olaparib)
6. Immunotherapy (checkpoint inhibitors)

Note: Testosterone is not a standard treatment for ovarian adenocarcinoma. Hormone therapies used typically involve estrogen-blocking agents.",ovarian adenocarcinoma,ovarian adenocarcinoma,indication,paclitaxel,paclitaxel,Verified,Correct relation.
Can you list a few other treatments for ovarian adenocarcinoma other than testosterone?,"For ovarian adenocarcinoma, other treatments include:

1. Surgery (hysterectomy, oophorectomy)
2. Chemotherapy (carboplatin, paclitaxel)
3. Radiation therapy
4. Hormone therapy (estrogen-blocking agents)
5. Targeted therapy (bevacizumab, olaparib)
6. Immunotherapy (checkpoint inhibitors)

Note: Testosterone is not a standard treatment for ovarian adenocarcinoma. Hormone therapies used typically involve estrogen-blocking agents.",ovarian adenocarcinoma,ovarian adenocarcinoma,indication,bevacizumab,bevacizumab,Hallucination,No edge between 'ovarian adenocarcinoma' and 'bevacizumab'.
Can you list a few other treatments for ovarian adenocarcinoma other than testosterone?,"For ovarian adenocarcinoma, other treatments include:

1. Surgery (hysterectomy, oophorectomy)
2. Chemotherapy (carboplatin, paclitaxel)
3. Radiation therapy
4. Hormone therapy (estrogen-blocking agents)
5. Targeted therapy (bevacizumab, olaparib)
6. Immunotherapy (checkpoint inhibitors)

Note: Testosterone is not a standard treatment for ovarian adenocarcinoma. Hormone therapies used typically involve estrogen-blocking agents.",ovarian adenocarcinoma,ovarian adenocarcinoma,indication,olaparib,olaparib,Verified,Correct relation.
Can you list a few other treatments for ovarian adenocarcinoma other than testosterone?,"For ovarian adenocarcinoma, other treatments include:

1. Surgery (hysterectomy, oophorectomy)
2. Chemotherapy (carboplatin, paclitaxel)
3. Radiation therapy
4. Hormone therapy (estrogen-blocking agents)
5. Targeted therapy (bevacizumab, olaparib)
6. Immunotherapy (checkpoint inhibitors)

Note: Testosterone is not a standard treatment for ovarian adenocarcinoma. Hormone therapies used typically involve estrogen-blocking agents.",ovarian adenocarcinoma,ovarian adenocarcinoma,not indication,testosterone,testosterone,Relation Mismatch,"Expected 'contraindication', got 'not indication'."
Can methylphenobarbital be used for a patient with neutropenia?,"Methylphenobarbital is not typically recommended for patients with neutropenia, as it can potentially exacerbate the condition by further suppressing bone marrow activity.",neutropenia,neutropenia,contraindication,methylphenobarbital,methylphenobarbital,Verified,Correct relation.
"If a patient has graft versus host disease, what drug is usually prescribed?","For Graft Versus Host Disease (GVHD), a common medication prescribed is Cyclosporine, often in combination with other immunosuppressants like Prednisone and Methotrexate.",graft versus host disease,graft versus host disease,indication,cyclosporine,cyclosporine,Relation Mismatch,"Expected 'off-label use', got 'indication'."
"If a patient has graft versus host disease, what drug is usually prescribed?","For Graft Versus Host Disease (GVHD), a common medication prescribed is Cyclosporine, often in combination with other immunosuppressants like Prednisone and Methotrexate.",graft versus host disease,graft versus host disease,indication,prednisone,prednisone,Verified,Correct relation.
"If a patient has graft versus host disease, what drug is usually prescribed?","For Graft Versus Host Disease (GVHD), a common medication prescribed is Cyclosporine, often in combination with other immunosuppressants like Prednisone and Methotrexate.",graft versus host disease,graft versus host disease,indication,methotrexate,methotrexate,Hallucination,No edge between 'graft versus host disease' and 'methotrexate'.
Can you name a standard treatment for uterine corpus leiomyoma?,"One standard treatment for uterine corpus leiomyoma (fibroids) is a hysterectomy, but other options include myomectomy, uterine artery embolization (UAE), and medication such as gonadotropin-releasing hormone (GnRH) agonists.",uterine fibroids,,indication,gnrh agonist,,Unverifiable,Disease 'uterine fibroids' not found in dataset.
For what disease would a doctor usually prescribe teprotumumab?,Teprotumumab is typically prescribed for the treatment of Thyroid Eye Disease (TED).,thyroid eye disease,rare thyroid disease,indication,teprotumumab,teprotumumab,Hallucination,No edge between 'rare thyroid disease' and 'teprotumumab'.
What medical condition is benzbromarone typically used to treat?,Benzbromarone is typically used to treat gout.,gout,gout,indication,benzbromarone,benzbromarone,Verified,Correct relation.
For what disease would a doctor usually prescribe galcanezumab?,Galcanezumab is typically prescribed for the treatment of migraine and cluster headaches.,migraine,antimigraine,indication,galcanezumab,galcanezumab,Hallucination,No edge between 'antimigraine' and 'galcanezumab'.
For what disease would a doctor usually prescribe galcanezumab?,Galcanezumab is typically prescribed for the treatment of migraine and cluster headaches.,cluster headache,,indication,galcanezumab,,Unverifiable,Disease 'cluster headache' not found in dataset.
What is the main use for the medication polidocanol?,The main use for the medication polidocanol is as a sclerosing agent to treat varicose veins and spider veins.,varicose veins,varicose veins,indication,polidocanol,polidocanol,Hallucination,No edge between 'varicose veins' and 'polidocanol'.
What is the main use for the medication polidocanol?,The main use for the medication polidocanol is as a sclerosing agent to treat varicose veins and spider veins.,spider veins,,indication,polidocanol,,Unverifiable,Disease 'spider veins' not found in dataset.
I saw that lovastatin is a treatment for cerebrovascular disorder. Is this correct?,"Lovastatin is a statin medication primarily used to lower cholesterol levels. While it may have some benefits in reducing the risk of cerebrovascular events, such as stroke, it is not a direct treatment for cerebrovascular disorders. Instead, it's often used as a preventative measure to reduce the risk of cardiovascular and cerebrovascular events in patients with high cholesterol or cardiovascular disease.",hypercholesterolemia,,indication,lovastatin,,Unverifiable,Disease 'hypercholesterolemia' not found in dataset.
